일자,매수매도,가격
202008201425,1,40450
202008201430,0,0
202008201435,0,0
202008201440,0,0
202008201445,0,0
202008201450,0,0
202008201455,0,0
202008201500,0,0
202008201505,0,0
202008201510,0,0
202008201515,0,0
202008201520,2,40350
202008201530,0,0
202008210905,0,0
202008210910,0,0
202008210915,0,0
202008210920,0,0
202008210925,0,0
202008210930,0,0
202008210935,0,0
202008210940,0,0
202008210945,0,0
202008210950,0,0
202008210955,0,0
202008211000,0,0
202008211005,0,0
202008211010,0,0
202008211015,1,40600
202008211020,0,0
202008211025,0,0
202008211030,0,0
202008211035,0,0
202008211040,0,0
202008211045,0,0
202008211050,0,0
202008211055,0,0
202008211100,0,0
202008211105,0,0
202008211110,0,0
202008211115,2,40600
202008211120,0,0
202008211125,0,0
202008211130,0,0
202008211135,0,0
202008211140,0,0
202008211145,0,0
202008211150,0,0
202008211155,0,0
202008211200,0,0
202008211205,0,0
202008211210,0,0
202008211215,0,0
202008211220,0,0
202008211225,0,0
202008211230,0,0
202008211235,0,0
202008211240,0,0
202008211245,0,0
202008211250,0,0
202008211255,0,0
202008211300,0,0
202008211305,0,0
202008211310,0,0
202008211315,0,0
202008211320,1,41100
202008211325,0,0
202008211330,0,0
202008211335,0,0
202008211340,0,0
202008211345,0,0
202008211350,0,0
202008211355,0,0
202008211400,0,0
202008211405,0,0
202008211410,0,0
202008211415,0,0
202008211420,0,0
202008211425,0,0
202008211430,0,0
202008211435,0,0
202008211440,0,0
202008211445,0,0
202008211450,0,0
202008211455,0,0
202008211500,0,0
202008211505,0,0
202008211510,0,0
202008211515,0,0
202008211520,0,0
202008211530,0,0
202008240905,0,0
202008240910,0,0
202008240915,0,0
202008240920,0,0
202008240925,2,40950
202008240930,0,0
202008240935,0,0
202008240940,0,0
202008240945,0,0
202008240950,0,0
202008240955,0,0
202008241000,0,0
202008241005,0,0
202008241010,1,40800
202008241015,2,40950
202008241020,0,0
202008241025,0,0
202008241030,0,0
202008241035,0,0
202008241040,0,0
202008241045,0,0
202008241050,0,0
202008241055,0,0
202008241100,0,0
202008241105,0,0
202008241110,0,0
202008241115,0,0
202008241120,0,0
202008241125,0,0
202008241130,0,0
202008241135,0,0
202008241140,1,41200
202008241145,0,0
202008241150,0,0
202008241155,0,0
202008241200,2,41400
202008241205,1,41300
202008241210,0,0
202008241215,0,0
202008241220,0,0
202008241225,0,0
202008241230,2,41500
202008241235,0,0
202008241240,0,0
202008241245,0,0
202008241250,0,0
202008241255,0,0
202008241300,1,41300
202008241305,0,0
202008241310,0,0
202008241315,0,0
202008241320,0,0
202008241325,0,0
202008241330,0,0
202008241335,0,0
202008241340,0,0
202008241345,0,0
202008241350,0,0
202008241355,0,0
202008241400,0,0
202008241405,0,0
202008241410,0,0
202008241415,0,0
202008241420,0,0
202008241425,0,0
202008241430,0,0
202008241435,2,41350
202008241440,0,0
202008241445,0,0
202008241450,1,41050
202008241455,0,0
202008241500,0,0
202008241505,2,41300
202008241510,0,0
202008241515,0,0
202008241520,0,0
202008241530,0,0
202008250905,0,0
202008250910,0,0
202008250915,0,0
202008250920,0,0
202008250925,0,0
202008250930,0,0
202008250935,0,0
202008250940,0,0
202008250945,0,0
202008250950,0,0
202008250955,0,0
202008251000,0,0
202008251005,0,0
202008251010,0,0
202008251015,1,44050
202008251020,0,0
202008251025,0,0
202008251030,0,0
202008251035,0,0
202008251040,0,0
202008251045,0,0
202008251050,0,0
202008251055,0,0
202008251100,0,0
202008251105,0,0
202008251110,0,0
202008251115,0,0
202008251120,0,0
202008251125,0,0
202008251130,0,0
202008251135,0,0
202008251140,0,0
202008251145,0,0
202008251150,0,0
202008251155,0,0
202008251200,0,0
202008251205,0,0
202008251210,0,0
202008251215,0,0
202008251220,0,0
202008251225,0,0
202008251230,0,0
202008251235,0,0
202008251240,0,0
202008251245,2,43250
202008251250,0,0
202008251255,0,0
202008251300,0,0
202008251305,1,43000
202008251310,0,0
202008251315,0,0
202008251320,0,0
202008251325,0,0
202008251330,0,0
202008251335,0,0
202008251340,0,0
202008251345,0,0
202008251350,0,0
202008251355,0,0
202008251400,2,42900
202008251405,0,0
202008251410,0,0
202008251415,0,0
202008251420,0,0
202008251425,0,0
202008251430,0,0
202008251435,0,0
202008251440,0,0
202008251445,0,0
202008251450,0,0
202008251455,0,0
202008251500,0,0
202008251505,0,0
202008251510,0,0
202008251515,0,0
202008251520,0,0
202008251530,0,0
202008260905,1,43050
202008260910,2,43400
202008260915,1,42950
202008260920,0,0
202008260925,0,0
202008260930,0,0
202008260935,0,0
202008260940,0,0
202008260945,0,0
202008260950,0,0
202008260955,0,0
202008261000,0,0
202008261005,0,0
202008261010,0,0
202008261015,0,0
202008261020,0,0
202008261025,0,0
202008261030,0,0
202008261035,0,0
202008261040,0,0
202008261045,2,42550
202008261050,0,0
202008261055,0,0
202008261100,0,0
202008261105,0,0
202008261110,0,0
202008261115,0,0
202008261120,0,0
202008261125,0,0
202008261130,0,0
202008261135,0,0
202008261140,0,0
202008261145,0,0
202008261150,0,0
202008261155,0,0
202008261200,0,0
202008261205,1,42750
202008261210,0,0
202008261215,0,0
202008261220,0,0
202008261225,0,0
202008261230,0,0
202008261235,0,0
202008261240,0,0
202008261245,0,0
202008261250,0,0
202008261255,0,0
202008261300,2,42850
202008261305,0,0
202008261310,0,0
202008261315,0,0
202008261320,0,0
202008261325,0,0
202008261330,0,0
202008261335,1,42700
202008261340,0,0
202008261345,0,0
202008261350,0,0
202008261355,0,0
202008261400,2,42800
202008261405,0,0
202008261410,0,0
202008261415,0,0
202008261420,0,0
202008261425,0,0
202008261430,0,0
202008261435,0,0
202008261440,0,0
202008261445,0,0
202008261450,0,0
202008261455,1,42850
202008261500,0,0
202008261505,0,0
202008261510,0,0
202008261515,0,0
202008261520,0,0
202008261530,2,43200
202008270905,0,0
202008270910,0,0
202008270915,0,0
202008270920,0,0
202008270925,1,42650
202008270930,0,0
202008270935,0,0
202008270940,0,0
202008270945,0,0
202008270950,0,0
202008270955,0,0
202008271000,2,42900
202008271005,0,0
202008271010,0,0
202008271015,0,0
202008271020,1,42600
202008271025,0,0
202008271030,0,0
202008271035,0,0
202008271040,0,0
202008271045,0,0
202008271050,0,0
202008271055,0,0
202008271100,0,0
202008271105,0,0
202008271110,0,0
202008271115,0,0
202008271120,0,0
202008271125,0,0
202008271130,0,0
202008271135,0,0
202008271140,0,0
202008271145,2,42550
202008271150,0,0
202008271155,0,0
202008271200,0,0
202008271205,0,0
202008271210,0,0
202008271215,0,0
202008271220,0,0
202008271225,0,0
202008271230,0,0
202008271235,0,0
202008271240,0,0
202008271245,0,0
202008271250,0,0
202008271255,0,0
202008271300,0,0
202008271305,0,0
202008271310,0,0
202008271315,0,0
202008271320,1,42600
202008271325,0,0
202008271330,0,0
202008271335,0,0
202008271340,0,0
202008271345,0,0
202008271350,0,0
202008271355,0,0
202008271400,0,0
202008271405,0,0
202008271410,0,0
202008271415,0,0
202008271420,0,0
202008271425,0,0
202008271430,0,0
202008271435,0,0
202008271440,2,42350
202008271445,0,0
202008271450,0,0
202008271455,0,0
202008271500,0,0
202008271505,0,0
202008271510,0,0
202008271515,1,42100
202008271520,0,0
202008271530,0,0
202008280905,2,42300
202008280910,0,0
202008280915,0,0
202008280920,0,0
202008280925,0,0
202008280930,0,0
202008280935,0,0
202008280940,0,0
202008280945,0,0
202008280950,0,0
202008280955,0,0
202008281000,0,0
202008281005,0,0
202008281010,0,0
202008281015,0,0
202008281020,0,0
202008281025,0,0
202008281030,0,0
202008281035,0,0
202008281040,0,0
202008281045,0,0
202008281050,0,0
202008281055,0,0
202008281100,0,0
202008281105,0,0
202008281110,0,0
202008281115,0,0
202008281120,0,0
202008281125,0,0
202008281130,0,0
202008281135,0,0
202008281140,0,0
202008281145,0,0
202008281150,1,43700
202008281155,0,0
202008281200,0,0
202008281205,0,0
202008281210,0,0
202008281215,0,0
202008281220,0,0
202008281225,0,0
202008281230,0,0
202008281235,0,0
202008281240,0,0
202008281245,0,0
202008281250,0,0
202008281255,0,0
202008281300,0,0
202008281305,0,0
202008281310,0,0
202008281315,0,0
202008281320,0,0
202008281325,0,0
202008281330,0,0
202008281335,0,0
202008281340,0,0
202008281345,0,0
202008281350,0,0
202008281355,0,0
202008281400,0,0
202008281405,0,0
202008281410,0,0
202008281415,0,0
202008281420,0,0
202008281425,2,43000
202008281430,0,0
202008281435,0,0
202008281440,0,0
202008281445,0,0
202008281450,0,0
202008281455,0,0
202008281500,0,0
202008281505,0,0
202008281510,0,0
202008281515,0,0
202008281520,0,0
202008281530,0,0
202008310905,0,0
202008310910,0,0
202008310915,0,0
202008310920,0,0
202008310925,0,0
202008310930,0,0
202008310935,0,0
202008310940,0,0
202008310945,0,0
202008310950,0,0
202008310955,0,0
202008311000,0,0
202008311005,0,0
202008311010,0,0
202008311015,0,0
202008311020,1,43900
202008311025,0,0
202008311030,0,0
202008311035,0,0
202008311040,0,0
202008311045,0,0
202008311050,0,0
202008311055,0,0
202008311100,0,0
202008311105,0,0
202008311110,0,0
202008311115,0,0
202008311120,0,0
202008311125,0,0
202008311130,0,0
202008311135,0,0
202008311140,0,0
202008311145,0,0
202008311150,0,0
202008311155,0,0
202008311200,0,0
202008311205,0,0
202008311210,0,0
202008311215,0,0
202008311220,0,0
202008311225,0,0
202008311230,0,0
202008311235,0,0
202008311240,0,0
202008311245,0,0
202008311250,0,0
202008311255,0,0
202008311300,0,0
202008311305,0,0
202008311310,2,43600
202008311315,0,0
202008311320,0,0
202008311325,0,0
202008311330,1,43350
202008311335,0,0
202008311340,0,0
202008311345,0,0
202008311350,0,0
202008311355,0,0
202008311400,0,0
202008311405,0,0
202008311410,0,0
202008311415,0,0
202008311420,0,0
202008311425,0,0
202008311430,0,0
202008311435,0,0
202008311440,0,0
202008311445,2,43100
202008311450,0,0
202008311455,0,0
202008311500,0,0
202008311505,0,0
202008311510,0,0
202008311515,0,0
202008311520,1,42850
202008311530,0,0
202009010905,0,0
202009010910,0,0
202009010915,0,0
202009010920,0,0
202009010925,0,0
202009010930,2,43050
202009010935,0,0
202009010940,0,0
202009010945,0,0
202009010950,0,0
202009010955,0,0
202009011000,0,0
202009011005,0,0
202009011010,0,0
202009011015,1,42850
202009011020,0,0
202009011025,0,0
202009011030,0,0
202009011035,0,0
202009011040,0,0
202009011045,2,43100
